testA,2ff2A,97.546,326,8,0,3,328,1,326,0.0,655
testA,1hp0A,97.546,326,0,1,3,328,2,319,0.0,652
testA,3epxB,97.546,326,6,1,3,328,1,324,0.0,652
testA,1kicA,96.626,326,1,1,3,328,2,317,0.0,644
testA,2ff1B,96.626,326,0,1,3,328,2,316,0.0,643
testA,1kieA,96.012,326,1,1,3,328,2,315,0.0,638
testA,1kieB,96.012,326,1,1,3,328,1,314,0.0,637
testA,1r4fB,95.706,326,1,1,3,328,2,314,0.0,633
testA,2c40A,30.650,323,200,10,4,326,2,300,1.63e-39,141
testA,3mknA,28.241,216,125,11,4,215,2,191,2.33e-12,66.6
testA,3b9xA,28.241,216,125,11,4,215,2,191,2.51e-12,66.6
testA,1yoeA,30.973,226,128,11,3,227,3,201,3.40e-12,66.2
testA,3b9xC,27.778,216,120,10,4,215,2,185,3.71e-12,65.9
testA,3mknB,27.315,216,120,10,4,215,2,184,6.26e-12,65.5
testA,3b9xB,27.778,216,121,11,4,215,2,186,7.73e-12,65.1
testA,3g5iA,31.390,223,130,12,6,227,4,204,1.58e-11,64.3
testA,3g5iB,30.531,226,124,11,3,227,2,195,4.02e-11,62.8
testA,2masA,25.753,299,193,13,3,296,1,275,5.61e-11,62.8
